timestamp,actionEye,powerUpperFace,actionUpperFace,powerLowerFace,actionLowerFace
1740095402.2843,neutral,0,neutral,1,laugh
1740095402.3158,neutral,0,neutral,1,laugh
1740095402.3475,neutral,0,neutral,1,laugh
1740095402.3794,neutral,0,neutral,1,laugh
1740095402.4109,winkL,0,neutral,1,laugh
1740095402.4424,winkL,0,neutral,1,laugh
1740095402.4735,winkL,0,neutral,1,laugh
1740095402.5046,winkL,0,neutral,1,laugh
1740095402.5363,winkL,0,neutral,1,laugh
1740095402.5677,winkL,0,neutral,1,laugh
1740095402.5992,winkL,0,neutral,1,laugh
1740095402.6309,winkL,0,neutral,1,laugh
1740095402.6628,winkL,0,neutral,1,laugh
1740095402.6943,winkL,0,neutral,1,laugh
1740095402.7261,winkL,0,neutral,1,laugh
1740095402.7576,neutral,0,neutral,1,laugh
1740095402.7887,neutral,0,neutral,1,laugh
1740095402.82,neutral,0,neutral,1,laugh
1740095402.8517,neutral,0,neutral,1,laugh
1740095402.8829,neutral,0,neutral,1,laugh
1740095402.9146,neutral,0,neutral,1,laugh
1740095402.9463,neutral,0,neutral,1,laugh
1740095402.978,neutral,0,neutral,1,laugh
1740095403.0096,neutral,0,neutral,1,laugh
1740095403.0411,neutral,0,neutral,1,laugh
1740095403.0728,neutral,0,neutral,1,laugh
1740095403.1039,neutral,0,neutral,1,laugh
1740095403.135,neutral,0,neutral,1,laugh
1740095403.1666,neutral,0,neutral,1,laugh
1740095403.1977,neutral,0,neutral,1,laugh
1740095403.2294,blink,0,neutral,1,laugh
1740095403.2609,blink,0,neutral,1,laugh
1740095403.2924,blink,0,neutral,1,laugh
1740095403.324,blink,0,neutral,1,laugh
1740095403.3555,blink,0,neutral,1,laugh
1740095403.3866,neutral,0,neutral,1,laugh
1740095403.4179,blink,0,neutral,1,laugh
1740095403.4492,blink,0,neutral,1,laugh
1740095403.481,blink,0,neutral,1,laugh
1740095403.5127,blink,0,neutral,1,laugh
1740095403.5446,blink,0,neutral,1,laugh
1740095403.5761,neutral,0,neutral,1,laugh
1740095403.6076,neutral,0,neutral,1,laugh
1740095403.6392,neutral,0,neutral,1,laugh
1740095403.6707,neutral,0,neutral,1,laugh
1740095403.702,neutral,0,neutral,1,laugh
1740095403.7333,neutral,0,neutral,1,laugh
1740095403.7653,neutral,0,neutral,1,laugh
1740095403.797,neutral,0,neutral,1,laugh
1740095403.8283,neutral,0,neutral,1,laugh
1740095403.8598,neutral,0,neutral,1,laugh
1740095403.8911,neutral,0,neutral,1,laugh
1740095403.9227,neutral,0,neutral,1,laugh
1740095403.9542,neutral,0,neutral,1,laugh
1740095403.9857,neutral,0,neutral,1,laugh
1740095404.0172,neutral,0,neutral,1,laugh
1740095404.0487,neutral,0,neutral,1,laugh
1740095404.0805,neutral,0,neutral,1,laugh
1740095404.1122,neutral,0,neutral,1,laugh
1740095404.1437,neutral,0,neutral,1,laugh
1740095404.1752,blink,0,neutral,1,laugh
1740095404.2067,blink,0,neutral,1,laugh
1740095404.2385,blink,0,neutral,1,laugh
1740095404.27,blink,0,neutral,1,laugh
1740095404.3017,blink,0,neutral,1,laugh
1740095404.3332,neutral,0,neutral,1,laugh
1740095404.3643,neutral,0,neutral,1,laugh
1740095404.3961,neutral,0,neutral,1,laugh
1740095404.4276,neutral,0,neutral,1,laugh
1740095404.4595,neutral,0,neutral,1,laugh
1740095404.4908,neutral,0,neutral,1,laugh
1740095404.5224,blink,0,neutral,1,laugh
1740095404.5539,blink,0,neutral,1,laugh
1740095404.5858,blink,0,neutral,1,laugh
1740095404.6171,blink,0,neutral,1,laugh
1740095404.6484,blink,0,neutral,1,laugh
1740095404.6796,neutral,0,neutral,1,laugh
1740095404.7107,neutral,0,neutral,1,laugh
1740095404.742,neutral,0,neutral,1,laugh
1740095404.7737,neutral,0,neutral,1,laugh
1740095404.8054,neutral,0,neutral,1,laugh
1740095404.8372,neutral,0,neutral,1,laugh
1740095404.8689,neutral,0,neutral,1,laugh
1740095404.9004,neutral,0,neutral,1,laugh
1740095404.9317,neutral,0,neutral,1,laugh
1740095404.963,neutral,0,neutral,1,laugh
1740095404.9944,neutral,0,neutral,1,laugh
1740095405.0257,neutral,0,neutral,1,laugh
1740095405.057,neutral,0,neutral,1,laugh
1740095405.0889,neutral,0,neutral,1,laugh
1740095405.1205,neutral,0,neutral,1,laugh
1740095405.1524,neutral,0,neutral,1,laugh
1740095405.1839,neutral,0,neutral,1,laugh
1740095405.2154,neutral,0,neutral,1,laugh
1740095405.2469,neutral,0,neutral,1,laugh
1740095405.2785,neutral,0,neutral,1,laugh
1740095405.3096,neutral,0,neutral,1,laugh
1740095405.3407,neutral,0,neutral,1,laugh
1740095405.3724,winkR,0,neutral,1,laugh
1740095405.4043,winkR,0,neutral,1,laugh
1740095405.4361,winkR,0,neutral,1,laugh
1740095405.4676,winkR,0,neutral,1,laugh
1740095405.4991,winkR,0,neutral,1,laugh
1740095405.5306,neutral,0,neutral,1,laugh
1740095405.5619,neutral,0,neutral,1,laugh
1740095405.5933,neutral,0,neutral,1,laugh
1740095405.625,neutral,0,neutral,1,laugh
1740095405.6561,neutral,0,neutral,1,laugh
1740095405.6878,neutral,0,neutral,1,laugh
1740095405.7195,neutral,0,neutral,1,laugh
1740095405.7515,neutral,0,neutral,1,laugh
1740095405.7832,blink,0,neutral,1,laugh
1740095405.8147,blink,0,neutral,1,laugh
1740095405.8464,blink,0,neutral,1,laugh
1740095405.8778,blink,0,neutral,1,laugh
