timestamp,P,A,D
1740095495.8075,0.72,0.6,-0.34
1740095496.3124,0.7,0.62,-0.35
1740095496.8166,0.67,0.65,-0.36
1740095497.3203,0.66,0.67,-0.34
1740095497.8246,0.66,0.68,-0.32
1740095498.3286,0.68,0.67,-0.31
1740095498.8341,0.69,0.66,-0.3
1740095499.3385,0.72,0.64,-0.29
1740095499.8419,0.74,0.61,-0.26
1740095500.3488,0.8,0.57,-0.22
1740095500.8531,0.81,0.55,-0.21
1740095501.3562,0.81,0.54,-0.2
1740095501.8599,0.81,0.55,-0.23
1740095502.3641,0.84,0.51,-0.19
1740095502.8677,0.86,0.48,-0.16
1740095503.3724,0.86,0.48,-0.16
1740095503.8773,0.86,0.48,-0.19
1740095504.3821,0.81,0.53,-0.24
1740095504.886,0.79,0.55,-0.26
1740095505.3902,0.77,0.58,-0.26
1740095505.8957,0.78,0.58,-0.24
1740095506.3987,0.77,0.59,-0.23
1740095506.9033,0.76,0.6,-0.25
1740095507.4078,0.73,0.62,-0.28
1740095507.9112,0.7,0.64,-0.32
1740095508.4166,0.69,0.64,-0.34
1740095508.9207,0.69,0.64,-0.34
1740095509.4252,0.69,0.64,-0.34
1740095509.9301,0.71,0.63,-0.32
1740095510.4325,0.72,0.62,-0.31
1740095510.9388,0.72,0.61,-0.34
1740095511.4438,0.73,0.59,-0.34
1740095511.9471,0.72,0.61,-0.34
1740095512.4528,0.69,0.63,-0.36
1740095512.9551,0.66,0.65,-0.37
1740095513.4601,0.67,0.65,-0.37
1740095513.9653,0.67,0.65,-0.37
1740095514.468,0.67,0.65,-0.35
1740095514.9723,0.7,0.63,-0.34
1740095515.4768,0.7,0.63,-0.34
1740095515.9805,0.7,0.63,-0.34
1740095516.4856,0.69,0.63,-0.36
1740095516.9896,0.69,0.63,-0.36
1740095517.4941,0.67,0.64,-0.37
1740095517.9984,0.69,0.64,-0.33
1740095518.5026,0.72,0.62,-0.31
1740095519.0079,0.75,0.6,-0.29
1740095519.5119,0.76,0.58,-0.28
1740095520.0147,0.76,0.58,-0.27
1740095520.5193,0.78,0.58,-0.24
1740095521.0236,0.78,0.59,-0.22
1740095521.5277,0.75,0.61,-0.24
1740095522.0327,0.74,0.62,-0.27
1740095522.5369,0.73,0.62,-0.28
1740095523.0423,0.74,0.61,-0.29
1740095523.5476,0.71,0.63,-0.31
1740095524.0509,0.71,0.63,-0.31
1740095524.5554,0.71,0.64,-0.29
1740095525.0585,0.72,0.64,-0.26
1740095525.5625,0.72,0.65,-0.26
1740095526.0679,0.72,0.64,-0.28
1740095526.5713,0.71,0.64,-0.3
1740095527.0757,0.71,0.63,-0.3
1740095527.5803,0.75,0.6,-0.27
1740095528.0848,0.75,0.6,-0.27
1740095528.5889,0.74,0.61,-0.28
1740095529.0932,0.73,0.61,-0.29
1740095529.5972,0.73,0.62,-0.31
1740095530.1022,0.71,0.62,-0.32
1740095530.6059,0.7,0.65,-0.32
1740095531.1106,0.7,0.65,-0.31
1740095531.616,0.69,0.66,-0.3
1740095532.1191,0.7,0.65,-0.29
1740095532.6236,0.69,0.66,-0.28
1740095533.1271,0.69,0.66,-0.28
1740095533.6322,0.73,0.63,-0.27
1740095534.1367,0.78,0.58,-0.23
1740095534.6403,0.78,0.56,-0.27
1740095535.1464,0.79,0.55,-0.26
1740095535.6505,0.79,0.55,-0.26
1740095536.1537,0.79,0.56,-0.26
1740095536.6581,0.79,0.56,-0.26
1740095537.1616,0.79,0.55,-0.27
1740095537.6664,0.81,0.54,-0.25
1740095538.1709,0.81,0.53,-0.25
1740095538.6748,0.82,0.53,-0.24
1740095539.1796,0.81,0.54,-0.23
1740095539.6848,0.8,0.55,-0.25
1740095540.1882,0.81,0.54,-0.25
1740095540.6917,0.82,0.54,-0.2
1740095541.1963,0.84,0.51,-0.17
