timestamp,actionEye,powerUpperFace,actionUpperFace,powerLowerFace,actionLowerFace
1740095740.4472,blink,0.099969,frown,0,neutral
1740095740.4792,blink,0.099969,frown,0,neutral
1740095740.5109,neutral,0.099969,frown,0,neutral
1740095740.5426,neutral,0.077365,frown,0,neutral
1740095740.5741,neutral,0.077365,frown,0,neutral
1740095740.6056,neutral,0.077365,frown,0,neutral
1740095740.6368,neutral,0.077365,frown,0,neutral
1740095740.6679,neutral,0.053586,frown,0,neutral
1740095740.6996,neutral,0.053586,frown,0,neutral
1740095740.7309,neutral,0.053586,frown,0,neutral
1740095740.7629,neutral,0.053586,frown,0,neutral
1740095740.7942,neutral,0.049404,frown,0,neutral
1740095740.8259,neutral,0.049404,frown,0,neutral
1740095740.8574,neutral,0.049404,frown,0,neutral
1740095740.8885,neutral,0.049404,frown,0,neutral
1740095740.9197,neutral,0.036811,frown,0,neutral
1740095740.9508,neutral,0.036811,frown,0,neutral
1740095740.9827,neutral,0.036811,frown,0,neutral
1740095741.0146,neutral,0.036811,frown,0,neutral
1740095741.0463,neutral,0.031151,frown,0,neutral
1740095741.0781,blink,0.031151,frown,0,neutral
1740095741.1096,blink,0.031151,frown,0,neutral
1740095741.1409,blink,0.031151,frown,0,neutral
1740095741.1724,blink,0.043604,frown,0,neutral
1740095741.2037,blink,0.043604,frown,0,neutral
1740095741.2349,neutral,0.043604,frown,0,neutral
1740095741.2662,neutral,0.043604,frown,0,neutral
1740095741.2979,neutral,0,neutral,0,neutral
1740095741.3292,neutral,0,neutral,0,neutral
1740095741.3608,neutral,0,neutral,0,neutral
1740095741.3927,neutral,0,neutral,0,neutral
1740095741.4246,neutral,0,neutral,0,neutral
1740095741.4565,neutral,0,neutral,0,neutral
1740095741.4884,neutral,0,neutral,0,neutral
1740095741.5204,neutral,0,neutral,0,neutral
1740095741.5521,neutral,0,neutral,0,neutral
1740095741.5836,neutral,0,neutral,0,neutral
1740095741.6147,neutral,0,neutral,0,neutral
1740095741.6458,neutral,0,neutral,0,neutral
1740095741.6774,neutral,0,neutral,0,neutral
1740095741.7089,neutral,0,neutral,0,neutral
1740095741.7404,neutral,0,neutral,0,neutral
1740095741.7718,neutral,0,neutral,0,neutral
1740095741.8035,neutral,0,neutral,0,neutral
1740095741.8347,neutral,0,neutral,0,neutral
1740095741.8664,neutral,0,neutral,0,neutral
1740095741.8979,neutral,0,neutral,0,neutral
1740095741.9296,neutral,0.05408,frown,0,neutral
1740095741.961,neutral,0.05408,frown,0,neutral
1740095741.9925,neutral,0.05408,frown,0,neutral
1740095742.0238,neutral,0.05408,frown,0,neutral
1740095742.0553,neutral,0.088813,frown,0,neutral
1740095742.087,neutral,0.088813,frown,0,neutral
1740095742.1188,neutral,0.088813,frown,0,neutral
1740095742.1501,neutral,0.088813,frown,0,neutral
1740095742.1818,neutral,0.125293,frown,0,neutral
1740095742.2135,neutral,0.125293,frown,0,neutral
1740095742.2446,neutral,0.125293,frown,0,neutral
1740095742.276,neutral,0.125293,frown,0,neutral
1740095742.3075,neutral,0.114145,frown,0,neutral
1740095742.3388,neutral,0.114145,frown,0,neutral
1740095742.3703,neutral,0.114145,frown,0,neutral
1740095742.4018,neutral,0.114145,frown,0,neutral
1740095742.4336,neutral,0.096982,frown,0,neutral
1740095742.4653,neutral,0.096982,frown,0,neutral
1740095742.497,neutral,0.096982,frown,0,neutral
1740095742.5287,neutral,0.096982,frown,0,neutral
1740095742.5599,neutral,0.145662,frown,0,neutral
1740095742.5912,neutral,0.145662,frown,0,neutral
1740095742.6227,neutral,0.145662,frown,0,neutral
1740095742.654,neutral,0.145662,frown,0,neutral
1740095742.6855,blink,0.156875,frown,0,neutral
1740095742.7169,blink,0.156875,frown,0,neutral
1740095742.748,blink,0.156875,frown,0,neutral
1740095742.7791,blink,0.156875,frown,0,neutral
1740095742.8102,blink,0.117053,frown,0,neutral
1740095742.8413,neutral,0.117053,frown,0,neutral
1740095742.8725,neutral,0.117053,frown,0,neutral
1740095742.9042,neutral,0.117053,frown,0,neutral
1740095742.9361,blink,0.089145,frown,0,neutral
1740095742.9678,blink,0.089145,frown,0,neutral
1740095742.9995,blink,0.089145,frown,0,neutral
1740095743.0313,blink,0.089145,frown,0,neutral
1740095743.0628,blink,0.083902,frown,0,neutral
1740095743.0939,neutral,0.083902,frown,0,neutral
1740095743.125,neutral,0.083902,frown,0,neutral
1740095743.1562,neutral,0.083902,frown,0,neutral
1740095743.1877,neutral,0.047901,frown,0,neutral
1740095743.2192,neutral,0.047901,frown,0,neutral
1740095743.2511,neutral,0.047901,frown,0,neutral
1740095743.2826,neutral,0.047901,frown,0,neutral
1740095743.3142,neutral,0.037095,frown,0,neutral
1740095743.3457,neutral,0.037095,frown,0,neutral
1740095743.377,neutral,0.037095,frown,0,neutral
1740095743.4081,neutral,0.037095,frown,0,neutral
1740095743.4392,neutral,0.036778,frown,0,neutral
1740095743.4704,neutral,0.036778,frown,0,neutral
1740095743.5017,neutral,0.036778,frown,0,neutral
1740095743.5336,neutral,0.036778,frown,0,neutral
1740095743.5651,neutral,0.030187,frown,0,neutral
1740095743.5966,neutral,0.030187,frown,0,neutral
1740095743.6284,neutral,0.030187,frown,0,neutral
1740095743.6599,neutral,0.030187,frown,0,neutral
1740095743.6915,neutral,0,neutral,0,neutral
1740095743.7232,neutral,0,neutral,0,neutral
1740095743.7548,neutral,0,neutral,0,neutral
1740095743.7861,neutral,0,neutral,0,neutral
1740095743.8174,neutral,0,neutral,0,neutral
1740095743.8491,neutral,0,neutral,0,neutral
1740095743.8806,neutral,0,neutral,0,neutral
1740095743.9122,neutral,0,neutral,0,neutral
1740095743.9441,neutral,0.049666,frown,0,neutral
1740095743.9756,neutral,0.049666,frown,0,neutral
1740095744.0071,neutral,0.049666,frown,0,neutral
1740095744.0382,neutral,0.049666,frown,0,neutral
1740095744.0696,winkR,0.065695,frown,0,neutral
1740095744.1011,winkR,0.065695,frown,0,neutral
1740095744.1324,winkR,0.065695,frown,0,neutral
1740095744.1643,winkR,0.065695,frown,0,neutral
1740095744.1958,winkR,0.065983,frown,0,neutral
1740095744.2274,winkR,0.065983,frown,0,neutral
1740095744.2591,winkR,0.065983,frown,0,neutral
1740095744.2906,winkR,0.065983,frown,0,neutral
1740095744.3219,winkR,0.062354,frown,0,neutral
1740095744.3531,winkR,0.062354,frown,0,neutral
1740095744.3842,winkR,0.062354,frown,0,neutral
1740095744.4153,neutral,0.062354,frown,0,neutral
1740095744.447,neutral,0.053073,frown,0,neutral
1740095744.4787,neutral,0.053073,frown,0,neutral
1740095744.5103,neutral,0.053073,frown,0,neutral
1740095744.5422,neutral,0.053073,frown,0,neutral
1740095744.5737,neutral,0.053592,frown,0,neutral
1740095744.6052,neutral,0.053592,frown,0,neutral
1740095744.6366,neutral,0.053592,frown,0,neutral
1740095744.668,neutral,0.053592,frown,0,neutral
