timestamp,t7,t8,pz,af3,af4
1740095802.6518,4611.282,4196.41,4310.256,4299.487,4119.487
1740095802.6596,4601.026,4196.923,4283.59,4280,4105.128
1740095802.6676,4697.436,4210.769,4274.359,4302.051,4143.077
1740095802.6753,4758.974,4215.385,4276.41,4330.769,4176.923
1740095802.6833,4713.846,4222.051,4268.205,4325.128,4160
1740095802.6911,4674.872,4238.974,4270.256,4319.487,4151.795
1740095802.6991,4662.564,4232.821,4303.59,4319.487,4166.154
1740095802.7069,4672.821,4205.641,4320,4309.231,4166.667
1740095802.7149,4703.59,4189.744,4311.795,4299.487,4150.769
1740095802.7226,4640,4183.077,4304.615,4286.154,4127.692
1740095802.7306,4572.308,4182.051,4298.974,4265.641,4109.231
1740095802.7384,4664.615,4180,4280,4252.821,4096.923
1740095802.7464,4736.41,4182.564,4246.667,4261.026,4112.308
1740095802.7544,4668.718,4195.385,4236.923,4261.026,4134.872
1740095802.7623,4654.359,4201.538,4254.359,4251.282,4135.897
1740095802.7701,4672.821,4194.359,4281.538,4254.359,4120
1740095802.7781,4615.385,4191.282,4283.077,4260.513,4101.538
1740095802.7859,4611.282,4186.154,4282.051,4253.846,4104.615
1740095802.7939,4668.718,4171.282,4259.487,4259.487,4143.077
1740095802.8016,4633.846,4172.821,4236.923,4273.846,4163.077
1740095802.8096,4578.462,4192.308,4251.282,4264.615,4127.692
1740095802.8174,4596.923,4191.795,4292.821,4249.744,4102.051
1740095802.8252,4582.564,4163.59,4294.872,4228.718,4087.179
1740095802.833,4537.436,4147.179,4296.41,4211.282,4074.359
1740095802.8407,4512.821,4156.923,4303.59,4234.872,4103.59
1740095802.8485,4438.974,4148.205,4275.385,4244.615,4108.205
1740095802.8565,4352.821,4133.846,4261.026,4221.026,4076.41
1740095802.8645,4365.128,4149.744,4294.872,4216.923,4077.436
1740095802.8725,4412.308,4156.41,4300,4215.897,4082.051
1740095802.8804,4428.718,4150.256,4271.282,4217.436,4081.026
1740095802.8882,4469.744,4183.077,4263.59,4252.821,4114.359
1740095802.8962,4461.538,4221.538,4238.462,4275.385,4133.333
1740095802.904,4400,4216.41,4226.154,4257.949,4119.487
1740095802.9118,4432.821,4210.769,4264.615,4258.462,4136.923
1740095802.9197,4447.179,4198.974,4300,4249.231,4130.256
1740095802.9275,4348.718,4163.59,4282.051,4220,4078.974
1740095802.9355,4297.436,4145.641,4277.949,4210.769,4058.462
1740095802.9433,4344.615,4157.436,4275.385,4220.513,4083.077
1740095802.9513,4326.154,4162.564,4255.385,4225.641,4102.564
1740095802.9592,4256.41,4156.923,4237.436,4214.872,4088.718
1740095802.9672,4274.872,4149.231,4249.231,4197.949,4075.385
1740095802.9752,4334.359,4143.59,4265.128,4199.487,4082.051
1740095802.9832,4363.077,4159.487,4280.513,4216.41,4094.872
1740095802.9912,4379.487,4170.769,4275.897,4221.026,4104.103
1740095802.9991,4397.949,4161.026,4262.051,4214.359,4102.564
1740095803.0069,4383.59,4148.205,4253.333,4205.641,4090.769
1740095803.0149,4328.205,4133.333,4245.128,4186.667,4079.487
1740095803.0227,4289.231,4119.487,4252.308,4170.256,4061.026
1740095803.0306,4317.949,4127.179,4269.744,4171.282,4055.385
1740095803.0383,4381.538,4136.923,4281.026,4170.769,4076.41
1740095803.0461,4406.154,4123.59,4272.821,4165.641,4083.59
1740095803.0539,4402.051,4103.59,4271.282,4160,4058.462
1740095803.0619,4348.718,4095.385,4262.051,4154.359,4042.051
1740095803.0697,4248.205,4102.051,4263.077,4154.872,4057.949
1740095803.0774,4227.692,4113.846,4247.179,4164.615,4083.59
1740095803.0852,4258.462,4118.974,4222.051,4172.821,4085.128
1740095803.093,4219.487,4123.59,4221.026,4162.051,4062.564
1740095803.1008,4178.462,4113.846,4260.513,4142.564,4047.692
1740095803.1086,4201.026,4098.974,4277.436,4140,4043.59
1740095803.1163,4274.872,4110.256,4277.949,4152.308,4040.513
1740095803.1241,4274.872,4118.974,4278.974,4156.41,4053.846
1740095803.1319,4151.795,4100,4277.949,4152.821,4068.718
1740095803.1397,4114.872,4096.923,4279.487,4163.077,4058.462
1740095803.1475,4262.564,4124.615,4282.051,4186.154,4065.641
1740095803.1552,4291.282,4139.487,4259.487,4193.333,4088.205
1740095803.163,4149.744,4138.462,4225.641,4173.846,4070.769
1740095803.171,4088.205,4138.462,4226.154,4167.692,4055.897
1740095803.179,4102.564,4142.051,4251.795,4185.641,4083.077
1740095803.187,4149.744,4147.692,4284.615,4184.615,4096.41
1740095803.1949,4196.923,4152.821,4300.513,4181.026,4088.718
1740095803.2027,4166.154,4145.641,4302.564,4187.179,4088.205
1740095803.2105,4174.359,4128.718,4276.923,4185.641,4086.154
1740095803.2183,4270.769,4117.949,4255.385,4182.564,4091.795
1740095803.2261,4276.923,4122.564,4229.744,4186.154,4113.846
1740095803.234,4223.59,4140.513,4220,4183.077,4111.282
1740095803.242,4262.564,4157.436,4230.256,4177.949,4098.974
1740095803.25,4276.923,4156.923,4261.538,4169.744,4097.436
1740095803.258,4252.308,4151.795,4287.179,4165.128,4083.59
1740095803.266,4270.769,4153.846,4310.256,4169.231,4073.333
1740095803.2737,4254.359,4148.205,4324.103,4171.795,4090.769
1740095803.2817,4196.923,4127.179,4326.154,4166.154,4085.641
1740095803.2895,4186.667,4112.821,4313.333,4161.026,4050.256
1740095803.2975,4237.949,4115.897,4286.667,4169.231,4070.256
1740095803.3053,4264.615,4123.59,4254.872,4175.385,4110.256
1740095803.3132,4246.154,4133.333,4227.179,4175.385,4090.256
1740095803.321,4211.282,4144.615,4215.385,4181.538,4075.897
1740095803.329,4186.667,4148.205,4206.154,4182.051,4089.231
1740095803.3368,4209.231,4144.103,4219.487,4168.718,4080.513
1740095803.3448,4248.205,4157.436,4247.692,4169.231,4098.974
1740095803.3525,4270.769,4167.179,4274.359,4185.128,4142.051
1740095803.3605,4322.051,4155.385,4275.385,4196.923,4125.128
1740095803.3683,4346.667,4132.821,4285.641,4176.923,4071.795
1740095803.3763,4272.821,4121.026,4295.385,4144.615,4072.308
1740095803.3841,4235.897,4119.487,4286.154,4143.59,4105.128
1740095803.392,4297.436,4106.667,4260,4141.538,4094.872
1740095803.4,4303.59,4096.41,4255.385,4115.385,4071.282
1740095803.408,4258.462,4107.179,4249.744,4132.308,4085.128
1740095803.416,4264.615,4128.718,4246.667,4160.513,4097.949
1740095803.424,4287.179,4137.436,4260.513,4139.487,4095.897
1740095803.4318,4299.487,4136.923,4275.385,4147.692,4125.128
1740095803.4395,4258.462,4126.154,4268.718,4183.59,4140.513
1740095803.4473,4203.077,4102.051,4261.538,4162.051,4095.385
1740095803.4551,4223.59,4097.436,4274.872,4133.333,4068.205
1740095803.4631,4235.897,4103.077,4275.897,4132.308,4075.897
1740095803.4711,4184.615,4082.564,4266.667,4101.026,4064.103
1740095803.479,4188.718,4071.282,4245.641,4065.641,4061.026
1740095803.487,4217.436,4083.59,4226.667,4081.026,4073.333
1740095803.495,4162.051,4074.872,4209.744,4110.769,4063.59
1740095803.503,4102.564,4036.923,4210.769,4102.564,4022.564
1740095803.511,4088.205,4033.846,4220.513,4088.718,4000
1740095803.5189,4082.051,4064.103,4251.282,4095.897,4015.897
1740095803.5269,4114.872,4070.769,4276.923,4096.923,4032.821
1740095803.5349,4162.051,4054.359,4290.769,4088.718,4022.564
1740095803.5429,4166.154,4054.872,4284.103,4087.692,4006.667
1740095803.5509,4155.897,4067.179,4289.744,4075.897,4002.051
1740095803.5588,4151.795,4042.051,4292.821,4056.41,3998.462
1740095803.5668,4133.333,4011.282,4273.333,4068.718,3999.487
1740095803.5748,4137.436,4031.282,4249.231,4087.692,3997.949
1740095803.5828,4196.923,4061.026,4250.256,4080,4008.205
1740095803.5908,4229.744,4060,4256.41,4069.744,4034.359
1740095803.5987,4196.923,4057.436,4253.333,4087.179,4053.333
1740095803.6067,4188.718,4076.41,4266.154,4132.308,4075.385
1740095803.6147,4227.692,4090.256,4273.846,4166.667,4100.513
1740095803.6225,4211.282,4066.154,4275.897,4175.897,4113.333
1740095803.6305,4149.744,4032.821,4273.333,4208.718,4155.385
1740095803.6382,4118.974,4025.641,4271.282,4241.538,4187.692
1740095803.6462,4102.564,4039.487,4253.846,4247.179,4194.359
1740095803.6542,4059.487,4035.385,4236.923,4281.538,4267.692
1740095803.662,4032.821,4021.538,4222.564,4345.641,4354.872
1740095803.6698,4008.205,4012.308,4242.564,4334.872,4311.795
1740095803.6777,3973.333,3995.897,4259.487,4267.179,4237.436
1740095803.6855,3991.795,3999.487,4266.667,4241.538,4258.974
1740095803.6933,4069.744,4026.154,4277.949,4236.41,4281.538
1740095803.7011,4112.821,4036.923,4294.872,4215.897,4254.872
1740095803.7091,4110.769,4044.615,4297.436,4212.821,4246.667
1740095803.717,4129.231,4053.333,4303.077,4206.154,4255.897
